,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
139,0.085749067,9,5,693,12.79973699,0.427034389,10.08840705,5.768770995,0.218700133,4.207022183
12,0.010844129,4,5,2373,13.06172662,0.407175184,10.02454831,6.451191315,0.257921018,4.450902197
8,0.008259315,10,5,2331,13.06645796,0.407576326,10.04218531,6.662909943,0.265606253,4.536273978
10,0.009169927,3,6,987,13.11040614,0.401956768,10.01936488,6.590705326,0.294955981,4.555650168
898,0.533166078,7,5,915,13.23385755,0.51431869,10.45667162,6.992166478,0.289432658,4.540425509
119,0.072370204,7,6,752,13.31351621,0.403498708,10.02770093,5.914451435,0.244561194,4.125535713
44,0.028404802,8,5,4991,13.35374078,0.379934868,10.43181881,5.825515238,0.239165897,4.196217989
533,0.310040739,7,5,1317,13.37122595,0.410029369,10.27365737,6.04891824,0.271013237,4.317442056
654,0.382719886,5,5,3873,13.52520349,0.429755649,10.55851633,4.879260907,0.227870201,3.067149312
117,0.071061538,8,6,1556,13.58289942,0.372006504,10.32538591,5.63988451,0.208686166,4.209119627
272,0.160676215,6,7,4927,13.61167614,0.364412911,10.43422885,5.794919423,0.228858408,4.373199267
67,0.038410635,4,6,3875,13.62379568,0.359282432,10.5200934,5.643687231,0.201835474,3.979216915
722,0.425916061,6,5,940,13.63833023,0.415244008,10.62077171,6.870311764,0.268850532,4.986510369
41,0.027255635,2,7,435,13.68390587,0.350896419,10.54739584,6.417800296,0.281143423,4.467556958
372,0.216272881,5,5,2980,13.70537948,0.394644892,10.85923386,6.501648126,0.320101465,4.878191893
494,0.281436022,4,5,4160,13.71651161,0.385454905,10.6548991,6.677133265,0.288294605,4.766115735
250,0.149632871,6,6,2853,13.71879512,0.376973018,10.69402432,5.833781081,0.25501773,4.080331108
11,0.010667167,8,6,2800,13.72958167,0.359926606,10.43878331,6.323447348,0.25941001,4.330066271
5,0.007359157,8,9,2784,13.74189705,0.350855808,10.37836667,6.375138983,0.272424374,4.318049314
269,0.158850182,3,6,4999,13.75137325,0.346674859,11.04569825,5.441161104,0.225086713,4.091742447
71,0.04190519,7,6,2864,13.75667699,0.35692398,10.53635121,5.85597584,0.219710006,4.11431659
291,0.16845846,3,5,4448,13.76047126,0.373711376,10.67763824,5.338686158,0.261474979,3.963590134
443,0.254412768,4,10,72,13.76611371,0.361063562,10.34799569,6.6324022,0.260862106,4.558896841
217,0.130643633,3,5,1879,13.76706016,0.342483929,10.78061901,5.312268259,0.210019196,3.963244314
51,0.031453355,10,9,678,13.8282623,0.348871373,10.49599577,6.589628815,0.274091436,4.501858492
235,0.143226504,8,5,587,13.84126986,0.330909739,10.89564991,5.4273061,0.220398475,3.39673452
273,0.160843274,9,5,45,13.85060966,0.376819351,10.36778038,7.293243368,0.316655024,5.004220503
99,0.062046673,6,8,583,13.85926548,0.363043489,10.4570328,6.464915277,0.287839087,4.536204387
88,0.056622085,4,6,4805,13.86411084,0.328118138,10.63642008,6.045421248,0.241695444,4.211569101
103,0.063907952,7,6,3498,13.86757502,0.342564236,10.71885598,5.751692929,0.214339466,4.076311945
395,0.226137224,8,6,2775,13.8715717,0.358463568,10.75779281,5.41115329,0.232656409,4.081242545
242,0.145812602,6,5,1623,13.88670044,0.346619181,11.00433682,5.707491278,0.186802099,4.152724511
165,0.097738618,3,6,2830,13.91812389,0.331487599,10.88781773,6.052847179,0.252392609,4.210004966
713,0.421107429,3,7,4235,13.93410292,0.380900797,10.68854287,5.246146997,0.235801992,3.375306241
208,0.1199116,10,5,1815,13.94920293,0.340260846,10.65654936,5.703178079,0.203793389,3.976096039
253,0.150400984,9,6,3963,13.95331579,0.350088864,10.95926558,6.156991634,0.22532525,4.381075102
89,0.056926959,8,6,2069,13.97587485,0.343873372,10.93919415,5.783388343,0.241651276,3.905703942
402,0.228867566,3,7,639,13.97808674,0.332496993,10.35177294,5.7935696,0.215804515,4.038014774
93,0.058405515,10,7,1660,14.00224788,0.345088093,10.51991339,6.011086611,0.261388282,4.379024814
182,0.105645476,9,7,3756,14.02503387,0.339549085,10.57010775,5.527121333,0.231021581,4.326229902
236,0.143376034,10,7,4498,14.03333044,0.328923409,10.62403666,4.755831574,0.196667088,3.314519998
116,0.07049329,10,7,1942,14.05033913,0.333768922,10.85256528,5.383383518,0.228563292,3.908110998
7,0.0079251,3,10,1157,14.05623781,0.309491545,10.46969988,6.446608266,0.261526224,4.250054685
75,0.047455946,7,7,1641,14.07706191,0.334713716,10.63787401,5.627454368,0.230986189,4.127364916
338,0.19776318,6,6,1367,14.07812529,0.362625062,10.95687606,5.807541533,0.228539635,3.984543413
571,0.338073495,4,6,2272,14.08121555,0.359855946,10.8340557,5.288874603,0.241162637,3.957170842
102,0.063332676,4,6,4352,14.12591189,0.308908161,10.90598907,5.182574493,0.216973291,3.67348137
1,0.001543579,3,10,3427,14.12908253,0.290221083,10.66189071,6.199453999,0.259528417,4.296802036
134,0.085215612,6,11,274,14.13440634,0.304301105,10.43649835,6.359380531,0.256765936,3.880928916
231,0.140758652,2,5,4023,14.13717786,0.316178928,10.92386264,5.007077351,0.220627966,3.692455904
614,0.362459176,4,6,2104,14.13910298,0.38351417,10.50835777,6.106033772,0.236594482,4.059976534
107,0.065558396,7,6,3406,14.15049293,0.333153993,11.0590849,5.653885045,0.211338599,4.06872557
379,0.2180167,6,8,483,14.15631294,0.342380182,10.72616179,6.116511228,0.280450835,4.307118777
219,0.132120582,6,7,3219,14.1574996,0.31727625,10.66753023,5.448659919,0.216502776,4.172208177
60,0.034568321,5,8,1735,14.17198885,0.326781548,10.6069097,6.022336678,0.281732922,4.225759139
792,0.469583032,10,5,1706,14.17324829,0.377810446,11.05581545,7.012053183,0.308562689,4.75396205
59,0.034529973,4,9,2047,14.18345779,0.345777229,10.61134227,6.022341683,0.275006215,4.4464615
700,0.412635608,10,6,1051,14.20170367,0.346103465,11.1376051,4.992712659,0.170690205,3.325764555
9,0.008629095,8,11,3265,14.20328763,0.305494122,10.56704419,6.605877546,0.264103265,4.144450861
633,0.37302212,6,6,1608,14.21343381,0.354087722,10.84313971,6.475173088,0.239748843,4.711069065
193,0.111275491,4,8,807,14.23365655,0.32444082,10.6997421,6.245331431,0.289863188,4.495355852
172,0.100805351,8,6,1607,14.2373246,0.310857931,11.04845389,4.932045164,0.191503583,3.531468823
115,0.068345451,6,11,508,14.23986593,0.314387752,10.43098342,6.567635035,0.27047238,4.145838387
29,0.022419154,9,11,855,14.24055254,0.291689163,10.69110515,6.514093851,0.262044393,4.094313677
500,0.283565134,10,7,2897,14.24449041,0.332046725,10.44303973,6.095170202,0.281177692,3.865495937
303,0.175220671,10,7,3099,14.26241502,0.319908576,10.88714005,5.352979811,0.213228999,3.936122743
731,0.437153583,10,5,214,14.26471732,0.353580772,10.72814351,6.136387695,0.306337274,4.299622824
263,0.156007227,7,6,3877,14.26780525,0.301151629,10.92171887,5.372012397,0.201358998,3.599441072
685,0.405202306,10,7,3503,14.26935315,0.330391958,11.06714966,5.386125725,0.30043175,3.757891354
392,0.225593106,9,5,4588,14.28236195,0.352654562,11.17971688,5.707820569,0.257628828,4.055087365
350,0.204410531,7,7,3748,14.2989331,0.336880562,10.80597518,5.721261189,0.205684734,4.110600519
118,0.071702822,2,10,299,14.30087143,0.302509971,10.66780423,6.323313455,0.25384464,4.165934765
154,0.093857848,9,7,2955,14.31391822,0.316229092,11.04850189,5.525950854,0.217314989,4.165438878
487,0.279875806,1,5,14,14.32248604,0.277176413,11.60417202,5.23360296,0.26514682,4.023962463
312,0.180917166,10,8,4484,14.3272178,0.311885771,10.97796882,5.759908339,0.267743956,4.621161849
238,0.143769119,2,6,1307,14.32865133,0.315337741,11.12641169,4.791022105,0.213255117,3.383837794
243,0.146164502,4,7,784,14.33586317,0.314270761,10.81229458,5.79317584,0.223050315,4.398733121
178,0.103922165,6,8,1997,14.3370177,0.32905582,10.94657753,5.917171625,0.276623414,4.309958886
245,0.146667923,9,9,125,14.34838882,0.311022738,10.84214049,6.930113328,0.283619547,4.838545461
175,0.10281487,6,8,1205,14.35166131,0.322345642,10.87104598,5.794861862,0.240557398,4.388533476
227,0.138621155,3,9,3142,14.35284077,0.332014763,10.82053845,5.156409744,0.261460692,3.484926018
90,0.057293338,3,7,1378,14.38218092,0.318607263,10.78344458,5.771823037,0.227786842,3.974754797
450,0.257598438,8,6,3936,14.38494575,0.317878851,11.36421266,4.797233623,0.182766963,3.524560697
519,0.29978467,3,6,4149,14.38760126,0.336983131,11.00472047,4.881285532,0.290287759,3.519880584
581,0.345457912,4,9,826,14.38868821,0.335064401,11.0471152,5.930539924,0.230819208,4.421234276
537,0.313912429,10,8,2144,14.39470216,0.322941692,10.9640176,4.873924334,0.248525872,3.623500619
130,0.084300959,9,10,1386,14.41243673,0.353592648,10.61363707,5.829880704,0.286419667,4.425214365
177,0.103151239,8,7,3242,14.41453597,0.301897882,10.94573424,5.139421776,0.185411911,3.917111803
198,0.114282417,6,5,3204,14.41990761,0.337409386,11.2013875,5.971103367,0.271698023,4.31571102
811,0.480847585,2,5,4730,14.43276296,0.371084833,11.45100737,4.891629685,0.258888732,3.521704033
529,0.306948803,2,7,1813,14.45603712,0.325635177,11.24094622,5.213125874,0.22645695,3.531476222
181,0.105263951,8,9,848,14.47434403,0.313910381,11.01651323,5.865528976,0.256434957,4.203326179
367,0.212578091,2,10,59,14.4786625,0.32705764,10.76724852,7.401394038,0.311752434,4.708666404
161,0.097374814,3,9,2563,14.48208499,0.32273144,11.15912038,5.841616463,0.28921699,4.489227781
123,0.074262102,1,9,98,14.48283023,0.279136286,11.13809259,5.9604246,0.251495964,4.106578824
300,0.172805898,4,9,495,14.48323162,0.334056228,10.77037478,6.09385548,0.264406554,4.508352461
