,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
14,0.045518472,10,5,4082,13.58514483,0.471261392,10.5871118,3.887701374,0.252999778,2.84347986
21,0.072399202,3,5,2620,13.8637192,0.462702742,11.02635302,3.633844485,0.234221407,2.721053406
26,0.079216686,4,5,4630,13.90852252,0.457665157,10.91926392,4.179349773,0.252194086,3.106661206
12,0.038045138,2,5,4964,14.0272898,0.450101341,11.25823543,3.408209648,0.232125086,2.686416683
73,0.241885654,10,5,2428,14.36423099,0.449187844,11.22956094,4.421806734,0.256177522,3.286874019
48,0.161611697,6,6,3325,14.52342606,0.425006134,11.42909633,4.014895954,0.253862547,2.997034191
85,0.281237973,5,5,2489,14.68813729,0.427383768,11.64276389,4.471366138,0.272378259,3.268148384
23,0.07323134,5,7,1634,14.75155003,0.410449086,11.48310081,4.232108823,0.266876481,3.013110087
16,0.05113732,2,7,2518,14.89685176,0.411133949,11.63343868,4.158073245,0.266144673,3.032714222
20,0.062740498,9,8,1335,14.96951988,0.409579547,11.49203028,4.555011009,0.267301982,3.233340864
103,0.322253383,8,6,4596,15.02378505,0.411594708,11.73510894,4.144106846,0.25764136,3.147875203
76,0.256759372,10,6,2310,15.06114874,0.399749722,11.87229599,4.416247727,0.265753402,3.238400844
129,0.376831754,7,6,3139,15.06606597,0.407472622,11.89104071,4.14858721,0.247512874,3.138152195
132,0.394832155,8,5,4475,15.24357227,0.411110199,12.04476545,3.956302687,0.257565556,2.853378083
125,0.366060202,5,5,2751,15.28651439,0.408900473,11.93934185,4.331922246,0.251175554,3.123372964
10,0.026972699,9,9,2365,15.33441331,0.385896315,11.69787964,4.681595702,0.27207986,3.364671217
116,0.360156135,9,6,898,15.37942997,0.388050393,11.98312278,4.193400573,0.25816112,2.901913889
46,0.157240897,2,10,80,15.41178336,0.369534508,11.64364265,5.247655574,0.280586703,3.730349387
7,0.020943154,3,9,4189,15.47093324,0.379967434,11.83884953,4.567031347,0.264758577,3.275550919
72,0.239309326,1,6,838,15.60937035,0.384139218,12.68391142,4.197422269,0.250120796,3.515992948
47,0.159945677,7,8,2724,15.7165277,0.374858057,12.26131049,4.30033093,0.266006281,3.203213501
38,0.115483904,1,6,2230,15.72943129,0.376758246,12.76229578,4.278027173,0.248722378,3.585245199
